<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.23	1989.86	1998.48	1989.64	1992.37	47543	0	7
2023.11.24	1993.18	2003.60	1991.43	2002.16	65244	0	7
2023.11.27	2001.13	2018.09	2000.48	2013.91	98714	0	7
2023.11.28	2013.26	2042.95	2011.69	2040.93	93370	0	7
2023.11.29	2041.06	2051.94	2035.41	2044.62	102720	0	7
2023.11.30	2044.84	2047.18	2030.98	2035.89	91647	0	7
2023.12.01	2037.53	2075.31	2033.85	2071.16	103904	0	7
2023.12.04	2074.33	2144.76	2020.09	2029.86	145180	0	0
2023.12.05	2029.68	2041.17	2009.79	2019.61	114050	0	7
2023.12.06	2019.34	2035.79	2017.23	2025.00	95600	0	7
2023.12.07	2026.07	2039.89	2020.21	2028.63	99674	0	7
2023.12.08	2028.79	2033.93	1994.64	2003.40	110088	0	7
2023.12.11	2005.39	2007.73	1975.86	1981.49	91269	0	7
2023.12.12	1982.46	1996.74	1977.20	1979.68	87752	0	7
2023.12.13	1980.07	2027.42	1973.02	2026.53	89885	0	7
2023.12.14	2024.90	2047.90	2024.56	2035.75	135327	0	7
2023.12.15	2036.44	2044.87	2015.57	2018.23	102712	0	7
2023.12.18	2019.60	2033.60	2015.93	2027.19	75188	0	7
2023.12.19	2027.85	2047.02	2021.63	2040.34	76293	0	7
2023.12.20	2039.96	2043.41	2027.42	2029.42	77365	0	7
2023.12.21	2032.16	2045.95	2031.49	2045.77	79074	0	7
2023.12.22	2047.27	2070.57	2046.82	2053.06	91642	0	7
2023.12.26	2057.23	2068.98	2053.46	2066.78	52354	0	7
2023.12.27	2067.70	2084.40	2061.43	2077.29	70573	0	7
2023.12.28	2077.96	2088.38	2064.57	2064.98	79944	0	7
2023.12.29	2066.76	2074.73	2058.24	2062.57	78732	0	7
2024.01.02	2065.03	2078.87	2055.92	2058.94	93397	0	7
2024.01.03	2059.09	2065.89	2030.60	2041.04	109829	0	7
2024.01.04	2042.23	2050.90	2036.22	2043.47	129007	0	7
2024.01.05	2043.11	2063.96	2024.36	2045.70	143668	0	7
2024.01.08	2044.56	2046.57	2016.76	2028.04	131937	0	7
2024.01.09	2028.43	2041.90	2026.08	2029.86	124740	0	7
2024.01.10	2030.64	2040.21	2020.47	2023.70	120703	0	7
2024.01.11	2025.07	2039.57	2013.28	2028.13	143407	0	7
2024.01.12	2029.28	2062.23	2029.23	2048.87	138449	0	7
2024.01.15	2047.96	2058.61	2045.76	2054.61	78745	0	7
2024.01.16	2055.11	2055.57	2024.25	2027.65	150588	0	7
2024.01.17	2027.80	2032.89	2001.85	2005.87	151086	0	7
2024.01.18	2006.90	2023.27	2005.74	2022.79	132186	0	7
