<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.12	14016.42	14090.69	13914.25	14081.95	28736	0	0
2021.02.15	14081.35	14159.85	14069.25	14119.45	14311	0	0
2021.02.16	14119.45	14159.75	14036.75	14055.87	18243	0	0
2021.02.17	14055.87	14074.65	13883.45	13947.58	27412	0	0
2021.02.18	13947.58	13976.35	13851.75	13923.55	22518	0	0
2021.02.19	13923.55	14026.15	13849.85	13953.35	32281	0	0
2021.02.22	13983.75	14033.25	13798.35	13931.45	41751	0	0
2021.02.23	13931.45	14009.75	13661.85	13880.75	64511	0	0
2021.02.24	13880.75	14031.99	13787.55	14025.08	34456	0	0
2021.02.25	14025.08	14074.05	13744.35	13754.07	38840	0	0
2021.02.26	13754.07	13881.25	13645.05	13790.19	43629	0	0
2021.03.01	13832.59	14052.59	13808.52	14038.53	28221	0	0
2021.03.02	14038.53	14102.75	13925.85	14031.54	34682	0	0
2021.03.03	14031.54	14198.85	13977.05	14005.96	41803	0	0
2021.03.04	14005.96	14098.65	13901.95	13967.45	35490	0	0
2021.03.05	13967.45	14073.65	13868.05	14066.84	31182	0	0
2021.03.08	14127.35	14415.45	13963.85	14381.95	64861	0	0
2021.03.09	14381.95	14480.75	14314.55	14454.95	25941	0	0
2021.03.10	14454.95	14585.66	14391.25	14585.66	25812	0	0
2021.03.11	14584.46	14601.25	14519.45	14547.45	12660	0	0
2021.03.12	14547.45	14581.95	14455.25	14558.95	24191	0	0
2021.03.15	14555.25	14607.35	14411.55	14507.55	34391	0	0
2021.03.16	14507.55	14609.25	14483.45	14564.95	19421	0	0
2021.03.17	14564.95	14689.05	14530.70	14672.05	20961	0	0
2021.03.18	14672.05	14812.75	14654.95	14693.85	29381	0	0
2021.03.19	14693.85	14758.95	14573.95	14647.95	32411	0	0
2021.03.22	14642.65	14692.65	14551.45	14670.65	25441	0	0
2021.03.23	14670.65	14719.75	14526.55	14628.45	34421	0	0
2021.03.24	14628.45	14632.55	14533.65	14567.25	13661	0	0
2021.03.25	14567.25	14712.45	14430.35	14705.45	42601	0	0
2021.03.26	14705.45	14864.65	14671.39	14861.65	23033	0	0
2021.03.29	14858.35	14904.15	14731.35	14882.37	24169	0	0
2021.03.30	14887.17	15042.35	14862.15	14994.55	20561	0	0
2021.03.31	14991.65	15059.95	14966.65	15029.65	20286	0	0
2021.04.01	15035.75	15206.55	15026.75	15180.75	19641	0	0
2021.04.06	15254.45	15337.35	15180.35	15210.55	21917	0	0
2021.04.07	15213.15	15254.95	15170.95	15234.27	17458	0	0
2021.04.08	15230.95	15268.45	15159.65	15238.93	17718	0	0
2021.04.09	15234.75	15275.65	15169.55	15239.85	16905	0	0
2021.04.12	15237.95	15285.85	15199.95	15253.38	17398	0	0
2021.04.13	15253.25	15295.15	15194.95	15267.55	16438	0	0
2021.04.14	15267.35	15311.85	15178.15	15193.89	18022	0	0
2021.04.15	15199.05	15303.04	15192.05	15278.05	15597	0	0
2021.04.16	15280.85	15525.65	15269.05	15504.85	17438	0	0
2021.04.19	15497.65	15514.45	15349.25	15392.45	19752	0	0
2021.04.20	15393.15	15413.65	15119.85	15139.58	22291	0	0
2021.04.21	15147.75	15281.55	15086.55	15252.39	21812	0	0
2021.04.22	15254.45	15352.25	15225.25	15255.45	23056	0	0
2021.04.23	15257.25	15324.05	15160.15	15275.11	18688	0	0
2021.04.26	15296.75	15339.55	15246.55	15297.75	17611	0	0
2021.04.27	15297.55	15323.05	15197.25	15273.41	14937	0	0
2021.04.28	15284.55	15365.25	15244.55	15312.55	17347	0	0
2021.04.29	15313.05	15344.85	15092.85	15193.34	21509	0	0
2021.04.30	15193.45	15256.25	15107.25	15154.72	21037	0	0
2021.05.03	15159.65	15280.45	15117.45	15263.06	17205	0	0
2021.05.04	15262.55	15272.35	14835.35	14907.35	32225	0	0
2021.05.05	14910.85	15195.95	14897.85	15163.15	23231	0	0
2021.05.06	15171.65	15288.75	15095.45	15253.55	29727	0	0
2021.05.07	15256.85	15419.85	15235.85	15388.85	23419	0	0
2021.05.10	15388.15	15472.05	15273.12	15274.12	21602	0	0
2021.05.11	15330.15	15354.15	15004.95	15099.55	38077	0	0
2021.05.12	15105.35	15227.05	14996.25	15077.45	38248	0	0
2021.05.13	15089.95	15268.85	14811.85	15243.97	41310	0	0
2021.05.14	15256.85	15487.13	15212.65	15480.22	25657	0	0
2021.05.17	15457.25	15498.41	15352.15	15431.45	28079	0	0
2021.05.18	15428.35	15536.75	15284.58	15293.15	41664	0	0
2021.05.19	15295.95	15336.85	14957.65	15152.85	40882	0	0
2021.05.20	15152.95	15396.75	15099.85	15359.71	27118	0	0
2021.05.21	15349.15	15466.75	15344.51	15441.05	24641	0	0
2021.05.24	15421.45	15590.15	15394.99	15568.87	16767	0	0
